model_class,horizon_q,rmse,mae,bias
VECM,1,4.173392163231399,3.4455539215665567,1.9883910806595053
VECM,2,8.133189636519328,7.087234024791542,5.237888111812822
VECM,3,11.366427917750544,9.506681039884626,7.5248558958468665
VECM,4,13.624244528426807,11.182263874350372,9.27465234921849
VECM,5,16.741214359721383,14.177922860873958,11.975301861722027
VECM,6,22.76055081849184,18.460308241406686,14.858220922776956
VECM,7,28.541972124433773,22.095715232340417,16.68948296723651
VECM,8,31.641989133943905,24.002880278907025,18.55354036514465
VECM,9,34.68153432759711,26.439532011560384,21.21619359010735
VECM,10,40.85795514976921,30.989681567555152,23.285215590490175
VECM,11,45.97263300499598,33.87001614961987,24.124761429763716
VECM,12,49.46027613816709,35.67715453623449,25.584868482099854
VECM,13,53.531905764475866,38.451337804720694,27.475023324089033
VECM,14,59.03144932864376,42.29209554941931,27.91740077549472
VECM,15,62.053148052223655,44.55870905110454,27.15856563530371
VECM,16,64.88570095931345,46.102392531954884,28.204606921660336
VECM,17,70.27084713071487,49.99370111609236,29.93004971722064
VECM,18,74.87091904899434,54.749268299906205,28.791086057279966
VECM,19,75.9564282221096,56.95132699057258,26.634859177700992
VECM,20,78.04339592626883,58.560968520197704,27.079419152392347
VECM,21,82.76685289767066,62.0099528031479,27.938242047925666
VECM,22,86.5217322288531,66.09230996100075,26.08877201280339
VECM,23,87.83187587790638,68.44431240275085,23.480330451089497
VECM,24,89.62254198404472,70.27116036007135,22.717331598890645
VECM,25,92.9539992365062,73.5060112584117,21.56626535234737
VECM,26,96.81186949631858,78.17309984813137,16.510607547261564
VECM,27,100.59871743034196,82.27069546483533,11.321854643230864
VECM,28,104.18647499216334,85.49504488226367,8.893558771880942
VECM,29,108.68900537479453,89.78138983170737,5.408301655289603
VECM,30,116.51789759913667,96.53098109723933,-3.493318478891388
VECM,31,121.03789234380505,101.29360617043884,-9.205673283559396
VECM,32,122.6738389068463,103.62830348872706,-10.728102296610285
VECM,33,126.47931061463318,107.79854151374563,-14.405921835198502
VECM,34,135.6737856306183,116.70658859739414,-24.631426748427195
VECM,35,140.58630221284665,122.16969420609584,-30.943888348596808
VECM,36,141.58186761363459,124.21108989673262,-32.238556198692656
VECM,37,145.94673388789795,129.04599150211612,-36.58466096902008
VECM,38,155.68357237593986,138.45459950286983,-47.74641536364498
VECM,39,160.54113416959433,143.90109927696452,-54.282014827992064
VECM,40,161.56576405907057,145.8996622172392,-55.64363904468835
State-Space,1,5.801396016629283,4.534359922130852,0.05759106811950687
State-Space,2,8.978716619807386,8.214353894138577,0.5418030984793802
State-Space,3,10.595611846365587,9.487930963076717,-0.18606805220999262
State-Space,4,11.58173301905967,10.313066085598336,0.07214450158866156
State-Space,5,13.839370403301247,11.90166386146991,0.6570496382815009
State-Space,6,17.632015530906976,15.860243547649635,1.2742671969086246
State-Space,7,19.64294678914383,18.389536993112092,0.3644943925382961
State-Space,8,20.922718664665446,19.51932050426273,0.5792275949742759
State-Space,9,23.111328517354583,21.24631714999729,1.2743332146749367
State-Space,10,26.61754427374096,23.888102373801445,1.2033694211140697
State-Space,11,28.49706402484901,25.85850596051936,-0.559308927529969
State-Space,12,30.280095351039936,27.495785056521242,-0.6064990014904652
State-Space,13,33.93427552906391,30.28046127958809,-0.6985393327520455
State-Space,14,37.90926972550249,33.7596542793318,-2.2346697739963703
State-Space,15,39.53440209485543,34.87508914491301,-5.009657766840201
State-Space,16,41.586189348881376,36.88054252614826,-5.277210750091717
State-Space,17,44.96146949455454,39.71660641053261,-5.362416195653367
State-Space,18,48.79567314070523,42.96762976222133,-7.795238077926285
State-Space,19,50.40434320269204,43.82982138981054,-11.559635239724566
State-Space,20,52.556884147870484,45.90415494827235,-12.566818795680438
State-Space,21,55.89250701287892,48.97909356806262,-13.614765470309113
State-Space,22,69.19299838547298,56.84114423402332,-22.20902234134664
State-Space,23,66.56019389924938,55.40783763543393,-24.068524129522217
State-Space,24,67.51541958996228,56.43038287832356,-25.187001954153494
State-Space,25,71.18224807425966,58.87887203122226,-28.20447558536223
State-Space,26,85.86376639733044,67.99802122584909,-39.55478666636019
State-Space,27,88.2999706704303,69.06657249359168,-43.789853323910165
State-Space,28,91.9664563884661,71.4469303712886,-46.488844391220404
State-Space,29,98.94674553228747,75.20547046166033,-52.40068188636261
State-Space,30,118.89729429687144,87.39226853652569,-67.84564356838487
State-Space,31,122.9945156290778,89.77903871418091,-72.90166811476476
State-Space,32,125.14904983410445,91.70648311748539,-75.58485647146207
State-Space,33,131.19235135844534,96.2245887008035,-81.19578583894273
State-Space,34,150.58697888465153,110.23371273567773,-98.47439211520023
State-Space,35,156.6956704688938,113.3435477871324,-104.34599179406307
State-Space,36,158.81618533500506,115.05094624836451,-107.12909870636527
State-Space,37,165.06661055230407,120.32234627531379,-113.3495996101778
State-Space,38,184.46794994850254,137.41513246740107,-132.90413817111767
State-Space,39,190.5880083397404,141.19692303686335,-138.69261346237946
State-Space,40,192.90706518705656,143.06263582848237,-141.70881594637808
Horizon Hybrid,1,5.801396016629283,4.534359922130852,0.05759106811950687
Horizon Hybrid,2,8.978716619807386,8.214353894138577,0.5418030984793802
Horizon Hybrid,3,10.595611846365587,9.487930963076717,-0.18606805220999262
Horizon Hybrid,4,11.58173301905967,10.313066085598336,0.07214450158866156
Horizon Hybrid,5,13.839370403301247,11.90166386146991,0.6570496382815009
Horizon Hybrid,6,17.632015530906976,15.860243547649635,1.2742671969086246
Horizon Hybrid,7,19.64294678914383,18.389536993112092,0.3644943925382961
Horizon Hybrid,8,20.922718664665446,19.51932050426273,0.5792275949742759
Horizon Hybrid,9,23.111328517354583,21.24631714999729,1.2743332146749367
Horizon Hybrid,10,26.61754427374096,23.888102373801445,1.2033694211140697
Horizon Hybrid,11,28.49706402484901,25.85850596051936,-0.559308927529969
Horizon Hybrid,12,30.280095351039936,27.495785056521242,-0.6064990014904652
Horizon Hybrid,13,53.531905764475866,38.451337804720694,27.475023324089033
Horizon Hybrid,14,59.03144932864376,42.29209554941931,27.91740077549472
Horizon Hybrid,15,62.053148052223655,44.55870905110454,27.15856563530371
Horizon Hybrid,16,64.88570095931345,46.102392531954884,28.204606921660336
Horizon Hybrid,17,70.27084713071487,49.99370111609236,29.93004971722064
Horizon Hybrid,18,74.87091904899434,54.749268299906205,28.791086057279966
Horizon Hybrid,19,75.9564282221096,56.95132699057258,26.634859177700992
Horizon Hybrid,20,78.04339592626883,58.560968520197704,27.079419152392347
Horizon Hybrid,21,82.76685289767066,62.0099528031479,27.938242047925666
Horizon Hybrid,22,86.5217322288531,66.09230996100075,26.08877201280339
Horizon Hybrid,23,87.83187587790638,68.44431240275085,23.480330451089497
Horizon Hybrid,24,89.62254198404472,70.27116036007135,22.717331598890645
Horizon Hybrid,25,92.9539992365062,73.5060112584117,21.56626535234737
Horizon Hybrid,26,96.81186949631858,78.17309984813137,16.510607547261564
Horizon Hybrid,27,100.59871743034196,82.27069546483533,11.321854643230864
Horizon Hybrid,28,104.18647499216334,85.49504488226367,8.893558771880942
Horizon Hybrid,29,108.68900537479453,89.78138983170737,5.408301655289603
Horizon Hybrid,30,116.51789759913667,96.53098109723933,-3.493318478891388
Horizon Hybrid,31,121.03789234380505,101.29360617043884,-9.205673283559396
Horizon Hybrid,32,122.6738389068463,103.62830348872706,-10.728102296610285
Horizon Hybrid,33,126.47931061463318,107.79854151374563,-14.405921835198502
Horizon Hybrid,34,135.6737856306183,116.70658859739414,-24.631426748427195
Horizon Hybrid,35,140.58630221284665,122.16969420609584,-30.943888348596808
Horizon Hybrid,36,141.58186761363459,124.21108989673262,-32.238556198692656
Horizon Hybrid,37,145.94673388789795,129.04599150211612,-36.58466096902008
Horizon Hybrid,38,155.68357237593986,138.45459950286983,-47.74641536364498
Horizon Hybrid,39,160.54113416959433,143.90109927696452,-54.282014827992064
Horizon Hybrid,40,161.56576405907057,145.8996622172392,-55.64363904468835
Econometric Ensemble,1,4.172573790077922,3.0099362930277094,1.0156327078375
Econometric Ensemble,2,7.086412930100671,6.064653559131466,3.029962366014047
Econometric Ensemble,3,9.364915036310098,8.039536416733768,4.175733725288557
Econometric Ensemble,4,10.869031645191493,9.560187113851754,5.610019093922636
Econometric Ensemble,5,13.496635651450363,12.242723107023636,7.806304166046499
Econometric Ensemble,6,19.202164340741966,17.083936265715103,10.388996110083587
Econometric Ensemble,7,23.914948622638374,20.703497467097446,11.832383443525675
Econometric Ensemble,8,26.868856704279246,23.2090854665771,13.817689585615454
Econometric Ensemble,9,30.286443630293533,26.792932045623502,16.59096476260454
Econometric Ensemble,10,36.86656109304094,32.71379711864519,18.884489565457
Econometric Ensemble,11,41.76603158278136,36.4872917454298,19.817651973484242
Econometric Ensemble,12,45.45544832882645,39.32928312051125,21.84645653179402
Econometric Ensemble,13,49.870628662614976,43.274197564780536,24.2217140668507
Econometric Ensemble,14,55.99360493570561,48.45978150376418,25.23379151263388
Econometric Ensemble,15,59.60710768772309,51.24371026190197,25.04583482800779
Econometric Ensemble,16,63.302797086677806,54.068677166194405,26.98097639325269
Econometric Ensemble,17,69.17974984813992,58.321555774657305,29.402346894660923
Econometric Ensemble,18,74.32476435685544,62.41337709034904,29.199470959177773
Econometric Ensemble,19,76.19424824480997,64.04422108917399,27.797614666591734
Econometric Ensemble,20,79.5118682232334,66.4482217713279,28.98798259012264
Econometric Ensemble,21,85.22031366987547,70.25242025051848,30.38117222698612
Econometric Ensemble,22,90.87353103209226,74.54212179357964,27.609035363649934
Econometric Ensemble,23,92.3815510393185,75.20210102594201,26.16867385047226
Econometric Ensemble,24,95.27237929399683,77.36317627702905,26.137599237812857
Econometric Ensemble,25,99.75848650379228,80.65741182747877,25.112925790658835
Econometric Ensemble,26,105.89652640653756,86.24614853158755,18.889285456933095
Econometric Ensemble,27,110.06231198794706,89.06608207188908,14.493475206031462
Econometric Ensemble,28,114.91450159564376,92.17772539437003,12.36499976704277
Econometric Ensemble,29,120.46285386112321,96.33654583870059,8.348712641192805
Econometric Ensemble,30,131.00561869522625,104.03488175961463,-2.265426611810085
Econometric Ensemble,31,136.11657144693743,107.01914810510819,-7.563934015289516
Econometric Ensemble,32,139.57070125782872,109.36570827178919,-9.375614736389474
Econometric Ensemble,33,145.30875640924916,114.63095237839384,-13.497680206183025
Econometric Ensemble,34,157.20882999905825,126.72763422216119,-25.581619139738603
Econometric Ensemble,35,164.00809035411487,133.3145916509809,-31.55581449997502
Econometric Ensemble,36,167.59653336636632,137.15762761863704,-33.08436372892858
Econometric Ensemble,37,174.12534003921448,143.8665269243202,-37.54248570705819
Econometric Ensemble,38,187.22789557293348,157.17001434620312,-50.79675657609681
Econometric Ensemble,39,194.23707977649133,163.63260422694856,-56.34972987124918
Econometric Ensemble,40,197.9762233203683,167.4713972297749,-57.476793926976256
ARIMAX-GARCH,1,3.5348364463164494,2.8200662539467487,1.0281314737563605
ARIMAX-GARCH,2,6.487439139602301,5.585189483342731,3.02711371134925
ARIMAX-GARCH,3,9.88282443128906,8.68283289296611,3.798122515498028
ARIMAX-GARCH,4,11.750874436150013,10.241532214077665,5.174304292112981
ARIMAX-GARCH,5,14.011250011557928,12.771551254074632,7.094418478112232
ARIMAX-GARCH,6,20.247464973654505,17.99606729094714,9.588323425182494
ARIMAX-GARCH,7,25.63202386680328,22.320481454165826,10.590222855829143
ARIMAX-GARCH,8,28.983318779527934,24.80538720942235,12.248735404791182
ARIMAX-GARCH,9,32.5309011359761,28.315557262804504,14.671352391320472
ARIMAX-GARCH,10,39.5895656676389,34.02702768116387,16.563534079877364
ARIMAX-GARCH,11,44.64912541024855,37.25121711207975,16.822613733040242
ARIMAX-GARCH,12,48.18720855190322,39.746277107054134,18.212979331048615
ARIMAX-GARCH,13,52.51037173692574,43.58082393308649,19.9061581310895
ARIMAX-GARCH,14,58.57409112035862,48.95020074218837,20.12992694163672
ARIMAX-GARCH,15,61.85315046856188,51.59055069569067,19.091379129129855
ARIMAX-GARCH,16,65.18552003636735,54.06244121895681,20.348266703491152
ARIMAX-GARCH,17,70.73232857215953,57.8959265440541,21.96017318041881
ARIMAX-GARCH,18,75.7593569808201,62.159486883496086,21.151094808204494
ARIMAX-GARCH,19,77.23300849688238,63.709618909088405,19.14669305119428
ARIMAX-GARCH,20,79.98743844889226,65.88667601986086,19.74746642781539
ARIMAX-GARCH,21,84.9856322451896,69.58944942484787,20.683720582965385
ARIMAX-GARCH,22,89.01486935584167,73.57455207026055,19.246076973718495
ARIMAX-GARCH,23,90.5432396188339,75.80393110504306,16.899239659655063
ARIMAX-GARCH,24,93.12446537862458,78.35739464695004,16.37166056962093
ARIMAX-GARCH,25,96.74622815853807,81.72658249307075,15.21440938000536
ARIMAX-GARCH,26,101.12903118320142,86.44113250612229,10.799202368236081
ARIMAX-GARCH,27,105.13313037027665,90.72291510902929,5.830141984927235
ARIMAX-GARCH,28,109.65275424916454,94.72296711951317,3.4426618835099703
ARIMAX-GARCH,29,114.48505911016485,99.20049995700113,-0.5197908082937431
ARIMAX-GARCH,30,123.7963792614062,106.79602606610267,-9.380613135137196
ARIMAX-GARCH,31,128.58480363382623,111.22557324431189,-14.918319436797741
ARIMAX-GARCH,32,131.39265669139235,114.21940401218744,-16.950312780657498
ARIMAX-GARCH,33,136.12951448828716,118.9069154290305,-20.799552082547535
ARIMAX-GARCH,34,146.3646742792249,126.72607341857784,-30.822069192141157
ARIMAX-GARCH,35,152.39379728545896,131.91481785979778,-37.3529855546079
ARIMAX-GARCH,36,154.70764223779125,134.67367410452135,-39.245460069415806
ARIMAX-GARCH,37,159.51078880338738,138.9896853816212,-43.56051382266796
ARIMAX-GARCH,38,171.19468504400143,148.21235365022994,-55.49501334838794
ARIMAX-GARCH,39,176.78746977458636,153.16825524384492,-61.79511679325983
ARIMAX-GARCH,40,178.9220447390336,156.01070099790869,-63.84611808215243
